"stop_id","pid","gender"
"3147","1","Female"
"3148","1","Female"
"3149","1","Male"
"3150","1","Female"
"3151","1","Female"
"3152","1","Male"
"3153","1","Male"
"3154","1","Male"
"3155","1","Male"
"3156","1","Male"
"3157","1","Male"
"3158","1","Female"
"3159","1","Male"
"3160","1","Male"
"3161","1","Male"
"3161","2","Male"
"3162","1","Male"
"3163","1","Male"
"3164","1","Female"
"3164","2","Male"
"3165","1","Male"
"3166","1","Female"
"3167","1","Male"
"3168","1","Female"
"3169","1","Male"
"3170","1","Male"
"3171","1","Female"
"3172","1","Male"
"3173","1","Male"
"3174","1","Male"
"3175","1","Male"
"3176","1","Male"
"3177","1","Female"
"3178","1","Male"
"3179","1","Female"
"3180","1","Male"
"3181","1","Male"
"3182","1","Male"
"3183","1","Male"
"3184","1","Male"
"3185","1","Male"
"3186","1","Male"
"3186","2","Female"
"3187","1","Male"
"3188","1","Male"
"3189","1","Male"
"3190","1","Male"
"3191","1","Female"
"3192","1","Male"
"3193","1","Male"
"3194","1","Male"
"3195","1","Male"
"3196","1","Female"
"3197","1","Male"
"3198","1","Female"
"3199","1","Male"
"3200","1","Female"
"3201","1","Male"
"3202","1","Male"
"3203","1","Male"
"3204","1","Male"
"3204","2","Female"
"3205","1","Male"
"3206","1","Male"
"3207","1","Male"
"3208","1","Male"
"3209","1","Female"
"3210","1","Male"
"3211","1","Male"
"3212","1","Female"
"3213","1","Male"
"3214","1","Male"
"3215","1","Female"
"3216","1","Male"
"3217","1","Male"
"3218","1","Male"
"3219","1","Male"
"3220","1","Female"
"3221","1","Male"
"3222","1","Male"
"3223","1","Male"
"3224","1","Male"
"3225","1","Male"
"3226","1","Male"
"3227","1","Male"
"3228","1","Female"
"3229","1","Male"
"3230","1","Male"
"3231","1","Male"
"3232","1","Male"
"3232","2","Male"
"3232","3","Female"
"3233","1","Male"
"3234","1","Female"
"3235","1","Female"
"3236","1","Male"
"3237","1","Male"
"3238","1","Male"
"3239","1","Male"
"3240","1","Male"
"3241","1","Female"
"3242","1","Female"
"3243","1","Male"
"3244","1","Female"
"3245","1","Female"
"3246","1","Female"
"3247","1","Female"
"3248","1","Male"
"3249","1","Male"
"3250","1","Male"
"3251","1","Male"
"3252","1","Female"
"3253","1","Female"
"3254","1","Male"
"3255","1","Female"
"3256","1","Male"
"3256","2","Male"
"3257","1","Female"
"3258","1","Male"
"3259","1","Male"
"3260","1","Male"
"3261","1","Male"
"3262","1","Female"
"3263","1","Male"
"3264","1","Male"
"3265","1","Male"
"3266","1","Female"
"3267","1","Male"
"3268","1","Male"
"3269","1","Male"
"3270","1","Female"
"3271","1","Male"
"3272","1","Male"
"3273","1","Male"
"3274","1","Male"
"3275","1","Female"
"3276","1","Female"
"3277","1","Male"
"3278","1","Male"
"3279","1","Female"
"3280","1","Male"
"3281","1","Male"
"3282","1","Male"
"3283","1","Female"
"3284","1","Male"
"3285","1","Female"
"3286","1","Female"
"3287","1","Male"
"3288","1","Male"
"3289","1","Male"
"3290","1","Male"
"3291","1","Male"
"3292","1","Male"
"3293","1","Female"
"3294","1","Male"
"3295","1","Female"
"3296","1","Male"
"3297","1","Female"
"3298","1","Female"
"3299","1","Male"
"3300","1","Female"
"3301","1","Male"
"3302","1","Male"
"3303","1","Female"
"3304","1","Male"
"3305","1","Female"
"3306","1","Male"
"3307","1","Male"
"3308","1","Male"
"3308","2","Male"
"3309","1","Male"
"3310","1","Male"
"3311","1","Male"
"3312","1","Male"
"3313","1","Male"
"3314","1","Female"
"3315","1","Male"
"3316","1","Female"
"3317","1","Male"
"3317","2","Male"
"3317","3","Male"
"3318","1","Male"
"3319","1","Male"
"3320","1","Male"
"3320","2","Male"
"3321","1","Male"
"3322","1","Male"
"3323","1","Female"
"3324","1","Female"
"3325","1","Male"
"3326","1","Male"
"3327","1","Male"
"3328","1","Male"
"3329","1","Female"
"3330","1","Female"
"3331","1","Male"
"3332","1","Male"
"3333","1","Male"
"3334","1","Female"
"3335","1","Male"
"3336","1","Transgender man/boy"
"3336","2","Male"
"3337","1","Male"
"3338","1","Male"
"3339","1","Male"
"3340","1","Male"
"3341","1","Female"
"3342","1","Female"
"3343","1","Male"
"3344","1","Male"
"3344","2","Female"
"3344","3","Male"
"3344","4","Female"
"3345","1","Male"
"3346","1","Male"
"3347","1","Male"
"3348","1","Male"
"3349","1","Male"
"3350","1","Male"
"3351","1","Male"
"3352","1","Male"
"3353","1","Male"
"3354","1","Male"
"3355","1","Male"
"3356","1","Male"
"3357","1","Male"
"3358","1","Female"
"3359","1","Male"
"3360","1","Male"
"3361","1","Male"
"3362","1","Male"
"3363","1","Male"
"3364","1","Male"
"3365","1","Male"
"3366","1","Male"
"3366","2","Male"
"3366","3","Female"
"3367","1","Female"
"3368","1","Male"
"3369","1","Male"
"3370","1","Male"
"3371","1","Male"
"3372","1","Male"
"3372","2","Female"
"3373","1","Male"
"3374","1","Female"
"3375","1","Male"
"3376","1","Female"
"3377","1","Male"
"3378","1","Female"
"3379","1","Male"
"3380","1","Male"
"3381","1","Male"
"3382","1","Female"
"3383","1","Male"
"3384","1","Male"
"3385","1","Male"
"3386","1","Male"
"3387","1","Male"
"3388","1","Male"
"3389","1","Male"
"3390","1","Male"
"3390","2","Female"
"3391","1","Female"
"3392","1","Male"
"3392","2","Male"
"3393","1","Male"
"3394","1","Male"
"3395","1","Male"
"3395","2","Female"
"3395","3","Male"
"3396","1","Male"
"3397","1","Female"
"3398","1","Male"
"3399","1","Female"
"3399","2","Female"
"3399","3","Female"
"3399","4","Male"
"3400","1","Female"
"3401","1","Male"
"3401","2","Female"
"3402","1","Male"
"3403","1","Male"
"3404","1","Male"
"3404","2","Female"
"3405","1","Male"
"3406","1","Male"
"3407","1","Male"
"3408","1","Male"
"3409","1","Male"
"3410","1","Male"
"3411","1","Male"
"3412","1","Female"
"3413","1","Male"
"3414","1","Male"
"3414","2","Male"
"3415","1","Male"
"3416","1","Male"
"3417","1","Male"
"3418","1","Male"
"3419","1","Male"
"3420","1","Male"
"3421","1","Male"
"3421","2","Male"
"3421","3","Male"
"3422","1","Male"
"3422","2","Male"
"3423","1","Male"
"3424","1","Male"
"3425","1","Male"
"3426","1","Male"
"3427","1","Male"
"3428","1","Female"
"3429","1","Male"
"3430","1","Male"
"3430","2","Male"
"3431","1","Male"
